Team;Sigla;GF;GS;CF;CS;JC;JF;GEC;GSEC;GEF;GSEF;R;;;
Am�rica Mineiro;AMG;1.19;2.10;4.32;5.55;15;16;22.2;19.4;17.6;29.0;0.2778;;;
Athletico Paranaense;CAP;1.45;1.16;4.61;4.42;16;15;28.9;16.9;15.3;17.6;0.5;;;
Atl�tico Mineiro;CAM;1.23;0.77;4.35;3.29;16;15;20.9;13.8;17.2;17.5;0.6944;;;
Bahia;BAH;1.16;1.35;4.29;5.23;15;16;21.7;16.5;16.0;27.4;0.5278;;;
Botafogo;BOT;1.57;0.77;4.67;4.57;16;14;28.7;16.4;12.4;21.0;0.3636;;;
Bragantino;BRA;1.40;0.87;5.57;3.43;15;15;27.3;15.1;19.8;19.4;0.697;;;
Corinthians;COR;1.13;1.19;4.00;4.71;16;15;20.3;15.5;12.7;24.5;0.4444;;;
Coritiba;CUR;1.10;2.13;3.90;5.74;15;16;19.3;20.4;14.5;31.4;0.25;;;
Cruzeiro;CRU;0.83;0.83;4.20;3.67;15;15;18.6;14.5;17.8;20.2;0.3939;;;
Cuiab�;CUI;0.97;1.10;3.77;4.03;16;15;18.1;17.3;12.5;18.9;0.3333;;;
Flamengo;FLA;1.43;1.20;4.20;5.10;14;16;20.9;15.9;18.7;21.6;0.5455;;;
Fluminense;FLU;1.35;1.32;5.32;4.13;16;15;23.3;14.6;18.5;24.9;0.3889;;;
Fortaleza;FOR;1.14;1.10;4.86;4.38;14;15;25.5;13.9;15.9;20.9;0.5333;;;
Goi�s;GOI;1.00;1.48;3.45;4.74;16;15;19.1;17.1;12.1;22.3;0.2778;;;
Gr�mio;GRE;1.61;1.48;4.71;4.90;15;16;22.2;15.9;18.5;30.5;0.5278;;;
Internacional;INT;1.13;1.26;3.97;4.26;16;15;21.6;19.3;13.4;21.1;0.4167;;;
Palmeiras;PAL;1.65;0.87;5.23;3.87;15;16;27.2;10.1;18.3;22.2;0.611;;;
Santos;SAN;1.10;1.77;3.71;5.61;15;16;22.1;16.9;15.1;26.6;0.5278;;;
S�o Paulo;SAO;1.16;1.13;4.45;3.65;16;15;26.5;12.9;14.9;19.2;0.4167;;;
Vasco;VAS;1.03;1.35;3.81;4.97;15;16;24.4;14.7;15.9;22.6;0.5;;;